PROPERTY_ID,SALE_PRICE,SALE_DATE,YEAR_BUILT,EFFECTIVE_YEAR_BUILT,LATITUDE,LONGITUDE,STATE,CITY,ZIP,CENSUS_TRACT,LIVING_SQFT,LOT_SQFT,BEDROOMS,FULL_BATHS,HALF_BATHS,GARAGE_SPACES,FIREPLACE_CODE,TOTAL_POPULATION_25PLUS,MALE_BACHELORS_DEGREE,FEMALE_BACHELORS_DEGREE,PCT_BACHELORS_DEGREE,TOTAL_POPULATION,NON_HISPANIC_WHITE_POPULATION,PCT_WHITE,MEDIAN_EARNINGS_TOTAL,MEDIAN_EARNINGS_MALE,MEDIAN_EARNINGS_FEMALE,MEDIAN_HOUSEHOLD_INCOME,MEDIAN_HOME_VALUE,MEDIAN_GROSS_RENT,OWNER_OCCUPIED_UNITS,RENTER_OCCUPIED_UNITS,PCT_OWNER_OCCUPIED,OCCUPIED_UNITS,VACANT_UNITS,MEDIAN_AGE,CIVILIAN_EMPLOYED,CIVILIAN_UNEMPLOYED,UNEMPLOYMENT_RATE,POPULATION_BELOW_POVERTY,POVERTY_RATE,COUNTY_NAME,COUNTY_FIPS,VOTES_GOP,VOTES_DEM,TOTAL_VOTES,PER_GOP,PER_DEM,PER_POINT_DIFF,DEM_MARGIN,REP_MARGIN,CC_LIST_ID
90149951,190000,2010-12-13,1993,1993,42.902778,-78.644464,ny,lancaster,14086,014204,1688,9148,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,Erie County,36029,197527,267174,473021,0.4175861113988596,0.5648248175028170,-0.1472387061039573,0.06482481750281699000,-0.08241388860114040000,
91051549,275000,2021-02-23,1987,1987,42.908567,-75.843095,ny,cazenovia,13035,030502,1896,40075,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,Madison County,36053,18408,14807,34038,0.5408073329807862,0.4350138080968329,0.1057935248839532,-0.06498619190316712000,0.04080733298078620400,
91630661,162105,1996-04-12,1929,1929,40.606177,-73.652455,ny,island park,11558,416202,2565,6000,0,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,Nassau County,36059,326716,396504,732756,0.4458728417099280,0.5411132764521888,-0.0952404347422607,0.04111327645218876000,-0.05412715829007197500,
90733203,1166388,2015-01-30,2012,2012,40.676448,-73.938298,ny,brooklyn,11213,031100,3275,1600,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Kings County,36047,202772,703310,913246,0.2220343697098043,0.7701210845708604,-0.5480867148610560,0.27012108457086037000,-0.27796563029019570000,
164464301,30000,2015-02-24,1900,1900,42.79696,-73.91738,ny,schenectady,12304,020700,1748,6970,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,Schenectady County,36093,30741,42465,74826,0.4108331328682543,0.5675166386015557,-0.1566835057333013,0.06751663860155566000,-0.08916686713174571000,
92570621,165830,2018-05-22,1999,1999,43.20584,-78.041022,ny,holley,14470,040801,1904,257004,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,Orleans County,36073,12126,5587,18154,0.6679519665087584,0.3077558664757078,0.3601961000330506,-0.19224413352429220000,0.16795196650875843000,
91553378,439000,2008-01-14,1948,1948,40.696088,-73.677298,ny,franklin square,11010,405600,1215,4500,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Nassau County,36059,326716,396504,732756,0.4458728417099280,0.5411132764521888,-0.0952404347422607,0.04111327645218876000,-0.05412715829007197500,
90016941,86900,2009-08-20,1926,1926,42.835228,-78.812671,ny,buffalo,14220,000600,1216,3910,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,Erie County,36029,197527,267174,473021,0.4175861113988596,0.5648248175028170,-0.1472387061039573,0.06482481750281699000,-0.08241388860114040000,
92960586,0,2015-10-09,,,40.745135,-73.7567,ny,oakland gardens,11364,136700,1058,130909,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Queens County,36081,212665,569038,787860,0.2699273982687279,0.7222577615312366,-0.4523303632625086,0.22225776153123655000,-0.23007260173127210000,
92474207,200000,2002-04-08,1936,2009,41.420766,-74.362314,ny,goshen,10924,011900,2024,43560,3,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,Orange County,36071,84996,84684,172099,0.4938785234080384,0.4920656133969401,0.0018129100110982,-0.00793438660305989500,-0.00612147659196160500,
